date,open,high,low,close,volume_usd,open_basis,close_basis,open_change,close_change,taker_buy_vol,taker_sell_vol,cum_vol_delta,agg_taker_buy_vol,agg_taker_sell_vol,cvd,funding_rate,global_account_long_percent,global_account_short_percent,global_account_long_short_ratio,long_liquidation_usd,short_liquidation_usd,net_long_change,net_short_change,net_long_change_cum,net_short_change_cum,net_position_change_cum,oi_aggregated_history,oi_stablecoin_margin,open_interest,bids_usd,bids_quantity,asks_usd,asks_quantity,taker_buy_volume_usd,taker_sell_volume_usd,top_account_long_percent,top_account_short_percent,top_account_long_short_ratio,top_position_long_percent,top_position_short_percent,top_position_long_short_ratio,whale_index_value,regime_wf
2024-04-25 09:00:00+00:00,63929.9,64180.0,63793.3,63948.2,461166356.7154,0.0295,0.0279,18.88,17.82,237788004.1453,223378352.5701,-6522823354.5245,544665768.2628,534931762.1001,-13457818464.1049,0.008198,65.42,34.58,1.89,41440.1052,132485.17241,0.0,-35.72,-11985.79,584.93,-12570.72,31333829799.0,149902.37,4441577509.0,134206441.7641,2111.428,105595527.3899,1645.242,237788004.1453,223378352.5701,64.19,35.81,1.79,55.48,44.52,1.25,-65.615,2
2024-04-25 10:00:00+00:00,63948.2,63949.0,63300.0,63438.3,1276083634.0569,0.0279,0.0374,17.83,23.71,600433951.6671,675649682.3898,-6598039085.2472,1399579264.7052,1636939901.1325,-13695179100.5322,0.009583,65.46,34.54,1.9,10629378.26977,26648.3512,0.0,476.06,-11985.79,1060.99,-13046.78,31157710613.0,150372.22,4439183462.0,123002247.9636,1934.049,99061079.3889,1542.435,600433951.6671,675649682.3898,64.22,35.78,1.8,55.63,44.37,1.25,-65.01,2
2024-04-25 11:00:00+00:00,63438.4,63978.0,63429.5,63826.9,605024690.021,0.0372,0.0538,23.6,34.33,316356250.0912,288668439.9298,-6570351275.0858,717114457.2,649722863.6555,-13627787506.9877,0.01,65.24,34.76,1.88,5141.31369,423187.358,21.63,0.0,-11964.16,1060.99,-13025.15,31296596021.0,150206.66,4466973465.0,146357273.6397,2318.697,86082357.9027,1351.089,316356250.0912,288668439.9298,64.78,35.22,1.84,55.85,44.15,1.27,-65.23,2
2024-04-25 12:00:00+00:00,63827.0,64316.5,63188.0,63388.9,1597890660.8813,0.0536,0.0646,34.24,40.92,786566226.5551,811324434.3262,-6595109482.8569,1721404416.9424,1931109019.3577,-13837492109.403,0.009562,65.61,34.39,1.91,505410.3778,138769.3616,-459.15,0.0,-12423.31,1060.99,-13484.3,31122633382.0,150304.36,4407257002.0,98279777.4006,1547.585,102978577.8936,1606.788,786566226.5551,811324434.3262,65.27,34.73,1.88,55.67,44.33,1.26,-70.125,2
2024-04-25 13:00:00+00:00,63388.9,63549.0,62721.3,63399.9,2122502244.9308,0.0646,0.0459,40.93,29.07,1007370631.2248,1115131613.706,-6702870465.3381,2295528672.516,2566136324.1364,-14108099761.0234,0.007156,65.76,34.24,1.92,252747.36047,765061.04465,382.83,0.0,-12040.48,1060.99,-13101.47,31394296359.0,151383.58,4435622054.0,147547482.2542,2338.47,80116534.9617,1258.144,1007370631.2248,1115131613.706,64.94,35.06,1.85,55.25,44.75,1.24,-71.665,2
2024-04-25 14:00:00+00:00,63400.0,63842.0,63182.4,63358.0,1102054232.0548,0.0457,0.0426,28.97,26.96,558148133.2879,543906098.7669,-6688628430.8171,1203166689.4693,1206890200.4454,-14111823271.9995,0.003801,66.33,33.67,1.97,636652.42056,724739.30445,-560.5,0.0,-12600.98,1060.99,-13661.97,31318434654.0,150632.95,4393518250.0,91213303.057,1446.134,79550279.949,1249.678,558148133.2879,543906098.7669,65.76,34.24,1.92,54.87,45.13,1.22,-80.245,2
2024-04-25 15:00:00+00:00,63357.9,64179.0,63224.8,64091.7,1034218583.5367,0.0427,0.069,27.06,44.24,540988286.1211,493230297.4156,-6640870442.1116,1262977153.8415,1084751569.6279,-13933597687.7859,0.001208,65.81,34.19,1.93,1465.3896,743330.02554,0.0,-62.03,-12600.98,998.96,-13599.94,31498890101.0,149393.93,4438632840.0,132226352.518,2096.478,72103133.9765,1133.444,540988286.1211,493230297.4156,65.41,34.59,1.89,55.07,44.93,1.23,-75.02,2
2024-04-25 16:00:00+00:00,64091.6,64497.8,63934.0,64401.6,1037739901.8746,0.0692,0.0681,44.33,43.85,523549452.258,514190449.6166,-6631511439.4702,1277748450.9996,1132504551.9654,-13788353788.7517,-0.001205,66.02,33.98,1.94,5628.9558,390604.51152,0.0,-1049.98,-12600.98,-51.02,-12549.96,31627453718.0,149516.87,4392707995.0,132226352.518,2096.478,72103133.9765,1133.444,523549452.258,514190449.6166,65.59,34.41,1.91,54.72,45.28,1.21,-78.815,2
2024-04-25 17:00:00+00:00,64401.5,64850.0,64338.0,64674.9,1178784104.2208,0.0682,0.045,43.95,29.1,578182053.8609,600602050.3599,-6653931435.9692,1375992694.2577,1340223595.2119,-13752584689.7059,-0.000794,65.68,34.32,1.91,131319.4513,286741.14004,0.0,-595.67,-12600.98,-646.69,-11954.29,31580189490.0,147466.79,4375421782.0,84313148.355,1314.775,112794402.8227,1743.018,578182053.8609,600602050.3599,65.03,34.97,1.86,54.78,45.22,1.21,-74.36,2
2024-04-25 18:00:00+00:00,64674.9,64995.7,64404.4,64689.1,852316543.0781,0.045,0.0356,29.09,23.0,421532556.7981,430783986.28,-6663182865.4511,926423974.318,895804403.3409,-13721965118.7288,0.000624,64.99,35.01,1.86,153189.7056,83095.7527,893.19,0.0,-11707.79,-646.69,-11061.1,31653697877.0,148577.38,4432071654.0,111868203.2729,1737.172,130296879.6864,2004.901,421532556.7981,430783986.28,64.41,35.59,1.81,54.71,45.29,1.21,-68.75,2
2024-04-25 19:00:00+00:00,64689.2,64759.0,64520.6,64721.5,322649707.2717,0.0354,0.0396,22.91,25.61,164003682.612,158646024.6597,-6657825207.4988,357810827.692,343640949.0216,-13707795240.0584,0.001134,64.41,35.59,1.81,0.0,76974.348,4.97,0.0,-11702.82,-646.69,-11056.13,31644250962.0,148474.83,4434476152.0,99156296.3993,1540.162,132660181.6716,2041.0,164003682.612,158646024.6597,63.5,36.5,1.74,54.52,45.48,1.2,-63.36,2
2024-04-25 20:00:00+00:00,64721.6,64970.0,64455.0,64758.9,554088032.3516,0.0394,0.0546,25.52,35.39,268511939.9446,285576092.407,-6674889359.9612,623607374.293,721431765.6774,-13805619631.4428,0.001305,63.9,36.1,1.77,39453.3607,1272897.49655,0.0,-663.96,-11702.82,-1310.65,-10392.17,31538918450.0,146712.66,4397060721.0,104490010.0156,1623.644,124104394.0391,1909.452,268511939.9446,285576092.407,63.05,36.95,1.71,54.59,45.41,1.2,-58.96,2
2024-04-25 21:00:00+00:00,64758.8,65270.6,64636.9,64672.8,805100186.6271,0.0548,0.0575,35.48,37.21,439188724.9477,365911461.6794,-6601612096.6929,863885230.6101,744408749.9383,-13686143150.771,-0.000165,63.41,36.59,1.73,168411.70923,625265.59465,-789.94,0.0,-12492.76,-1310.65,-11182.11,31358648383.0,145188.28,4339061453.0,105669872.6573,1640.475,138589448.5391,2130.871,439188724.9477,365911461.6794,62.41,37.59,1.66,54.61,45.39,1.2,-54.285,2
2024-04-25 22:00:00+00:00,64672.8,64712.8,64520.0,64581.1,308242208.127,0.0575,0.0339,37.21,21.89,152079652.6428,156162555.4842,-6605694999.5343,339924709.2196,366498765.1564,-13712717206.7078,6.7e-05,63.26,36.74,1.72,42489.4827,452.8335,0.0,80.48,-12492.76,-1230.17,-11262.59,31320270659.0,145242.38,4337356702.0,108273360.118,1682.086,72211797.3387,1111.73,152079652.6428,156162555.4842,62.05,37.95,1.64,54.43,45.57,1.19,-53.295,2
2024-04-25 23:00:00+00:00,64581.2,64718.9,64413.4,64478.8,283144478.3113,0.0337,0.0303,21.79,19.54,131226025.4582,151918452.8531,-6626387426.9292,309782556.1231,350436331.3005,-13753370981.8852,0.00168,62.97,37.03,1.7,87454.0151,0.0,0.0,136.85,-12492.76,-1093.32,-11399.44,31274108068.0,145120.93,4339295975.0,137590078.5428,2141.188,72353184.1728,1116.178,131226025.4582,151918452.8531,61.86,38.14,1.62,54.4,45.6,1.19,-51.535,2
2024-04-26 00:00:00+00:00,64478.7,64537.4,64071.9,64285.2,674734585.3266,0.0304,0.034,19.63,21.83,320252205.3609,354482379.9657,-6660617601.534,680453275.9462,790540771.2148,-13863458477.1538,0.003304,62.69,37.31,1.68,520605.04944,15826.1152,-542.42,0.0,-13035.18,-1093.32,-11941.86,31197019431.0,145228.45,4294935625.0,137590078.5428,2141.188,72353184.1728,1116.178,320252205.3609,354482379.9657,61.79,38.21,1.62,54.39,45.61,1.19,-50.105,2
2024-04-26 01:00:00+00:00,64285.7,64640.9,63844.0,64371.0,831998812.5678,0.0332,0.0497,21.33,31.97,427743441.1214,404255371.4464,-6637129531.859,996479183.4787,944775416.1348,-13811754709.8099,0.00446,62.86,37.14,1.69,524944.76187,297475.10512,81.2,0.0,-12953.98,-1093.32,-11860.66,31287042960.0,145463.28,4302472754.0,106504330.4876,1665.17,74752072.8558,1157.908,427743441.1214,404255371.4464,62.34,37.66,1.66,54.63,45.37,1.2,-51.7,2
2024-04-26 02:00:00+00:00,64370.9,64649.7,64263.5,64470.2,358451676.2096,0.0498,0.0461,32.08,29.71,184949788.2173,173501887.9923,-6625681631.634,441615333.0859,390513317.4497,-13760652694.1737,0.004367,63.57,36.43,1.75,36352.7244,12075.4304,221.19,0.0,-12732.79,-1093.32,-11639.47,31398144301.0,145721.03,4323255952.0,99242386.1797,1549.243,92941395.2198,1437.1,184949788.2173,173501887.9923,62.96,37.04,1.7,54.75,45.25,1.21,-56.375,2
2024-04-26 03:00:00+00:00,64470.3,64484.0,64269.0,64359.7,240130137.3068,0.0459,0.0335,29.62,21.54,110687460.8963,129442676.4105,-6644436847.1482,257289682.3027,276427070.3488,-13779790082.2198,0.005495,63.67,36.33,1.75,36645.25526,0.0,0.0,12.05,-12732.79,-1081.27,-11651.52,31377724052.0,145736.19,4316038108.0,87751826.1804,1367.341,97853824.3403,1511.313,110687460.8963,129442676.4105,63.22,36.78,1.72,54.87,45.13,1.22,-57.2,2
